06.052879,A,idle
06.052886,A,slurping,2
06.052901,F,idle
06.052908,F,slurping,0
06.052923,G,idle
06.052930,G,slurping,2
06.052944,I,idle
06.052951,I,sulking
06.052966,D,idle
06.052973,D,sulking
07.053163,C,swallowing
07.053182,K,swallowing
07.053195,A,swallowing
07.053209,J,swallowing
07.053220,F,swallowing
07.053232,G,swallowing
07.053243,E,swallowing
07.053255,H,swallowing
08.053579,K,idle
08.053589,K,slurping,2
08.053609,C,idle
08.053614,C,slurping,1
08.053626,A,idle
08.053632,A,slurping,2
08.053642,J,idle
08.053648,J,slurping,1
08.053659,F,idle
08.053664,F,slurping,3
08.053675,G,idle
08.053680,G,slurping,1
08.053691,E,idle
08.053697,E,slurping,2
08.053708,H,idle
08.053713,H,slurping,0
08.053724,B,idle
08.053729,B,slurping,3
09.055061,C,swallowing
09.055087,K,swallowing
09.055105,A,swallowing
09.055120,J,swallowing
09.055135,F,swallowing
09.055150,G,swallowing
09.055165,E,swallowing
09.055180,H,swallowing
09.055194,B,swallowing
10.054197,I,idle
10.054206,I,slurping,2
10.054219,D,idle
10.054223,D,slurping,3
10.055394,K,idle
10.055400,K,slurping,0
10.055412,A,idle
10.055416,A,slurping,2
10.055424,C,idle
10.055428,C,slurping,0
10.055436,J,idle
10.055440,J,slurping,0
10.055448,F,idle
10.055452,F,slurping,1
10.055459,G,idle
10.055463,G,sulking
10.055471,E,idle
10.055475,E,slurping,2
10.055482,H,idle
10.055486,H,sulking
10.055493,B,idle
10.055497,B,sulking
11.054966,I,swallowing
11.054986,D,swallowing
11.055602,A,swallowing
11.055613,K,swallowing
11.055621,C,swallowing
11.055671,J,swallowing
11.055683,F,swallowing
11.055690,E,swallowing
12.055250,I,idle
12.055262,I,slurping,2
12.055281,D,idle
12.055288,D,slurping,2
12.055817,K,idle
12.055827,K,slurping,1
12.055843,C,idle
12.055849,C,slurping,0
12.055862,A,idle
12.055868,A,slurping,3
12.055880,J,idle
12.055886,J,slurping,2
12.055897,F,idle
12.055903,F,slurping,3
12.055915,E,idle
12.055921,E,slurping,1
13.056074,C,swallowing
13.056103,K,swallowing
13.056120,A,swallowing
